what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262895840407
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1262895861174
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1262895861202
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262895867581
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1262895868666
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895870420
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1262895883707
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895883748
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1262895893925
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262895898296
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895908036
executed,command,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui.command.RevertCommand",1262895910252
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895910312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895910816
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895911418
activated,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262895915642
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262895915730
closed,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262895915730
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1262895918646
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895925179
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1262895926914
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895926955
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895933679
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895984522
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1262895984782
