what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1266531193985
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1266531193986
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1266531193986
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1266531193987
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1266531193988
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1266531193989
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1266531193990
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1266531193990
started,bundle,org.polarion.eclipse.team.svn.connector.javahl,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.javahl",1266531193990
started,bundle,org.polarion.eclipse.team.svn.connector.javahl15,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.javahl15",1266531193990
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.javahl16",1266531193990
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit",1266531193990
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit15,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit15",1266531193990
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1266531193990
os,sysinfo,,,"linux",1266531193995
arch,sysinfo,,,"x86",1266531193995
ws,sysinfo,,,"gtk",1266531193995
locale,sysinfo,,,"en_US",1266531193995
processors,sysinfo,,,"2",1266531193996
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1266531193996
java.runtime.version,sysinfo,,,"1.6.0_0-b14",1266531193996
java.specification.name,sysinfo,,,"Java Platform API Specification",1266531193996
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266531193996
java.specification.version,sysinfo,,,"1.6",1266531193996
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1266531193996
