what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897209471
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897211318
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897379528
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1262897380970
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897382326
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897392151
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897392666
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897414406
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1262897444432
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897456261
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897814603
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897816876
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897830257
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897830850
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897833539
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897900526
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897933647
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1262897942236
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897946101
failed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1262897953577
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897953614
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897960274
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897976777
activated,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262897982311
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262897984386
