what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1262899851687
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1262899851688
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1262899851688
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1262899851689
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1262899851690
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1262899851691
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1262899851692
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1262899851693
started,bundle,org.polarion.eclipse.team.svn.connector.javahl,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.javahl",1262899851693
started,bundle,org.polarion.eclipse.team.svn.connector.javahl15,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.javahl15",1262899851693
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.javahl16",1262899851693
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit",1262899851693
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit15,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit15",1262899851693
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1262899851693
os,sysinfo,,,"linux",1262899851697
arch,sysinfo,,,"x86",1262899851697
ws,sysinfo,,,"gtk",1262899851697
locale,sysinfo,,,"en_US",1262899851697
processors,sysinfo,,,"2",1262899851698
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1262899851698
java.runtime.version,sysinfo,,,"1.5.0_19-b02",1262899851698
java.specification.name,sysinfo,,,"Java Platform API Specification",1262899851698
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1262899851698
java.specification.version,sysinfo,,,"1.5",1262899851698
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1262899851698
