what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262897984396
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1262897984431
closed,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262897984460
closed,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262897984488
closed,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262897984523
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897995866
started,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1262897997758
started,bundle,org.eclipse.ant.core,3.2.100.v20090817_r351,"org.eclipse.ant.core",1262897998386
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1262898130893
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262898130930
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1262898137039
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262898138678
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262898150288
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262898151286
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262898153361
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262898156670
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262898448540
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262898452437
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262898457850
stopped,bundle,com.yourkit.profiler,8.0.4110,"com.yourkit.profiler",1262898458692
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.405.v200905022002,"org.eclipse.jst.server.generic.ui",1262898458693
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1262898458693
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.ide.ant",1262898458694
stopped,bundle,org.eclipse.mylyn.pde.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.pde.ui",1262898458695
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1262898458695
