what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896735607
executed,command,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui.command.RevertCommand",1262896737339
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896737389
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896737858
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896738680
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896754077
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896817824
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896822573
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896846543
opened,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262896847297
activated,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262896847484
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262896849495
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896853005
executed,command,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui.command.RevertCommand",1262896854609
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896854661
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896855200
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896855203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896920256
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896920265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896930022
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896930059
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896947672
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1262896954817
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896954878
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262897022586
