what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1262899969184
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262899969221
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262899979331
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1262900035239
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262900035284
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262900042689
failed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1262900059194
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262900059338
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262900063570
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1262900106661
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262900106696
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262900120341
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1262900147271
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262900147316
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262900151327
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1262900152708
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1262900152732
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262900155830
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1262900178692
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262900178726
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262900188149
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262900261433
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1262900262801
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1262900262807
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262900268700
