what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262896087157
activated,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262896087305
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262896090089
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896093638
executed,command,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui.command.RevertCommand",1262896094819
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896094863
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896108200
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896123834
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896131103
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896156810
opened,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262896157548
activated,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262896157659
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262896159432
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896162463
executed,command,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui.command.RevertCommand",1262896164137
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896164188
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896164620
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896165403
activated,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262896199246
activated,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262896199320
closed,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262896199320
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262896204554
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1262896360913
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1262896360969
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1262896361015
