what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1262896361037
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896363826
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1262896368820
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896368896
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1262896373434
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1262896374163
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1262896374474
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262896390017
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896401155
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896413195
opened,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262896428014
activated,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262896428165
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896432574
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1262896435464
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896435516
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262896444588
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896477901
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896487846
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896494453
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896610653
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896612640
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262896728091
opened,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262896728727
activated,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262896728851
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262896732161
