what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.5.0_19",1262899851698
java.vm.info,sysinfo,,,"mixed mode, sharing",1262899851698
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1262899851698
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1262899851698
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1262899851698
java.vm.specification.version,sysinfo,,,"1.0",1262899851698
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1262899851698
java.vm.version,sysinfo,,,"1.5.0_19-b02",1262899851698
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262899853579
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262899858954
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1262899858969
started,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1262899860560
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1262899860602
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1262899860683
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1262899861284
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1262899861293
started,bundle,org.eclipse.ant.core,3.2.100.v20090817_r351,"org.eclipse.ant.core",1262899861436
started,bundle,org.eclipse.pde.build,3.5.1.R35x_20090820,"org.eclipse.pde.build",1262899861577
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262899862760
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1262899900070
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262899900109
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262899907732
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1262899911403
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262899911451
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262899920304
