what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895738309
opened,view,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui.repository.RepositoriesView",1262895741806
opened,view,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui.repository.browser.RepositoryBrowser",1262895741857
activated,perspective,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui.repository.RepositoryPerspective",1262895741902
activated,view,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui.repository.RepositoriesView",1262895741910
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1262895741930
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1262895741930
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895741998
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1262895745298
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895745731
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895780982
activated,perspective,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.PDEPerspective",1262895786638
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262895786705
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895791886
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1262895796550
started,bundle,org.eclipse.pde.core,3.5.100.v20090821,"org.eclipse.pde.core",1262895796585
started,bundle,org.eclipse.pde,3.4.100.v200909170800,"org.eclipse.pde",1262895824453
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895833643
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1262895834038
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1262895834859
started,bundle,org.eclipse.pde.build,3.5.1.R35x_20090820,"org.eclipse.pde.build",1262895836423
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1262895836498
opened,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262895837594
activated,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1262895838195
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1262895838886
